snr_min,snr_max,rssi_min,rssi_max,temp,max_hop,mean_degree,min_degree,max_degree,sym,sf
-13.0,7.0,-131.0,-90.0,20.38095238,3,9.095238095238095,2.0,16.0,0.598429793,7
-14.0,8.0,-135.0,-91.0,20.38095238,3,11.2867859,2,17,0.69961887,8
-16.0,8.0,-138.0,-94.0,20.38095238,3,13.28571429,2.0,19.0,0.781047072,9
-18.0,9.0,-139.0,-95.0,20.38095238,3,14.39675477,2.0,19.0,0.792294253,10
-19.0,9.0,-142.0,-94.0,20.38095238,3,15.47619048,4.0,19.0,0.811316032,11
-22.0,9.0,-143.0,-94.0,20.38095238,2,15.98764563,7.0,17.0,0.833593969,12
-18.0,7.0,-137.0,-90.0,14.80952381,3,10.71428571,3,17,0.602863151,7
-18.0,8.0,-139.0,-92.0,14.80952381,3,12.9254687,3,17,0.70867787,8
-19,9.0,-141.0,-94.0,14.80952381,3,13.8978909,3,19,0.79674745,9
-20,9.0,-142.0,-94.0,14.80952381,3,15.0178688,3,19,0.849875,10
-21,10.0,-143.0,-94.0,14.80952381,3,16.128768,4,19,0.8676466,11
-23,10.0,-143.0,-94.0,14.80952381,2,16.4986896,8,19,0.8897855,12
