sf,dis,pos,size,scale,lbt,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true
7,1,5,100,20,1,2020-09-11 14:03:01,2020-09-11 14:39:01,2180,255221.88751995843,227191.6520229483,257752.0729961698,13671.922447841087,853272.0976856825-531376.526,280907.81915467983
7,1,5,50,20,1,2020-09-11 15:28:24,2020-09-11 15:47:00,1260,152640.77019175113,136145.73580576663,153400.24408626457,8280.422088517364,483692.42921194196-307125.882,156090.71715096253
7,1,5,25,20,1,2020-09-11 16:14:01,2020-09-11 16:29:01,860,103481.58792110505,95335.37048589742,104736.03673666476,4680.878320642395,330782.5596340112-209625.60199999998,115823.99261403302
7,1,5,10,20,1,2020-09-11 16:44:01,2020-09-11 16:54:01,589,70061.13786200488,64879.88812263862,71028.94238253456,3367.09638691869,229349.72907304633-143569.1623,78650.63035599607
7,1,5,5,20,1,2020-09-11 17:09:01,2020-09-11 17:18:01,499,60697.97092915193,54091.22785937593,60349.41074799117,2816.0710401492074,201466.81223203178-121631.5993,65561.69915998516
7,0,5,4,20,1,2020-09-11 15:50:01,2020-09-11 16:05:01,962,118775.18785895438,108571.38429196704,120147.20449036159,7990.804133093535,388493.01269194746-234488.1734,130999.18256906646
7,0,5,2,20,1,2020-09-11 15:10:01,2020-09-11 15:20:01,667,76115.21238323693,68244.25020837525,76305.0470002606,4803.398849241544,259692.7980809847-162581.7169,84249.68063800776
7,0,5,1,20,1,2020-09-11 15:29:01,2020-09-11 15:36:01,456,49811.71657361818,44806.684652751705,50640.647645830555,2995.624209161376,183088.7224159809-111150.3192,60115.08170698155
7,0,5,0.5,20,1,2020-09-11 16:56:01,2020-09-11 17:02:01,349,41781.76633811154,39117.11231835196,41778.12545324019,2383.817918274785,134945.92357400793-85068.99429999999,46789.24981299324
7,0,5,0.1,20,1,2020-09-11 17:18:01,2020-09-11 17:23:01,320,33128.56319722784,30789.37821859372,32991.9314833779,1576.6273330037895,124654.9007759915-78000.224,39870.25634599883
7,1,5,100,20,1,2020-09-12 19:38:00,2020-09-12 20:24:00,2754,347069.328974755,339630.72532626684,353315.60894796747,14738.488103328142,402880.53769155924,381053.44828224054
7,1,5,100,20,1,2020-09-12 22:20:00,2020-09-12 22:56:00,2123,267219.40645638516,239257.77511893175,271060.49932781485,14677.560647526787,310051.79050130595,270613.21309944114
7,1,5,100,20,1,2020-09-13 00:05:00,2020-09-13 00:39:00,2032,255698.64053441095,238979.14529375287,260476.620145887,13618.356280440006,296106.42009308626,269450.21326073585
7,1,5,50,20,1,2020-09-13 01:14:00,2020-09-13 01:35:00,1221,153856.89568240885,150116.11911911896,156435.03795816447,6557.487231221919,178116.79183292887,169843.60003320224
7,1,5,50,20,1,2020-09-13 03:17:00,2020-09-13 03:38:00,1221,154314.7394602172,146792.56582807377,155449.6805165842,6644.063997400531,178218.11327486928,164995.3560392361
7,1,5,50,20,1,2020-09-13 04:34:00,2020-09-13 04:55:00,1156,151021.5062434129,142834.7677360724,145934.60249910154,36033.04504045212,165287.69467074223,153200.07526119263
7,1,5,25,20,1,2020-09-13 06:04:00,2020-09-13 06:20:00,950,118391.16741583662,114874.35826106109,120154.77290106668,5050.425322191528,136140.39952970666,129451.49663408604
7,1,5,25,20,1,2020-09-13 06:43:00,2020-09-13 06:58:00,860,107040.75100278931,105125.70497400069,108995.5397680011,4235.318453266613,123631.26523273344,117788.33144501109
7,0,5,4,20,1,2020-09-13 03:39:00,2020-09-13 03:56:00,962,121200.64546085909,119613.67304112481,124469.8886215594,8158.932557134567,145624.4656368064,141300.48204714604
7,0,5,4,20,1,2020-09-13 02:03:00,2020-09-13 02:20:00,962,120773.91601156455,115339.64873408644,123052.48996127126,8171.1925745902345,145133.70903991454,136397.2667740761
7,0,5,4,20,1,2020-09-13 05:16:00,2020-09-13 05:33:00,962,112611.54476292456,106648.36815702986,116322.20010095507,8194.194951821633,135429.42874465632,126080.5259251788
7,0,5,2,20,1,2020-09-12 20:26:00,2020-09-12 20:37:00,621,78221.20759322672,75070.76438624428,79743.36379705954,4559.178896453566,94175.63182400563,89014.46842203494
7,0,5,2,20,1,2020-09-12 23:30:00,2020-09-12 23:41:00,621,78507.43143920768,75736.5146753826,79853.63899225277,4708.483489382918,94064.53552099963,89688.02030701369
7,0,5,1,20,1,2020-09-13 06:21:00,2020-09-13 06:29:00,417,49733.72638529693,48640.12550390746,50836.907069226356,3007.2907882442255,59421.07967804321,57128.54917899629
