sf,dis,lbt,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj
7,1,1,2020-09-10 00:55:01,2020-09-10 01:04:01,530,62515.85692011906,60025.26754162574,60560.98954309962,14205.776361900158
8,1,1,2020-09-10 01:32:01,2020-09-10 01:43:01,623,81660.99158922513,73303.63617412027,80416.73835328163,4197.268422507648
9,1,1,2020-09-10 02:14:01,2020-09-10 02:28:01,835,115364.76766450574,103700.75048964421,113533.8381476959,5271.06694635386
10,1,1,2020-09-10 03:06:01,2020-09-10 03:22:01,945,131403.01034975817,117356.9400057147,128445.79528217165,5154.523731216726
11,1,1,2020-09-10 04:15:01,2020-09-10 04:42:01,1583,231281.74688459988,206582.88167382265,227002.1223423265,8606.431429949207
7,1,1,2020-09-10 06:29:01,2020-09-10 06:38:01,519,61419.48399948641,59535.119197303415,62337.36897719051,2860.697179323023
8,1,1,2020-09-10 07:06:01,2020-09-10 07:17:01,623,78927.20071020685,72896.43294168699,80008.90964525954,4010.908849931958
9,1,1,2020-09-10 07:48:01,2020-09-10 08:02:01,835,114838.37684643036,104634.42554108468,112998.23210953696,5225.758819207189
10,1,1,2020-09-10 08:40:02,2020-09-10 08:56:01,939,128528.96069702525,119278.35515287808,128190.08573945501,6792.986346728949
11,1,1,2020-09-10 09:49:01,2020-09-10 10:16:01,1580,220349.2659770304,205839.1565733944,225053.3885527873,10499.885579213
7,1,1,2020-09-10 12:12:01,2020-09-10 12:14:23,519,63492.4219226627,55540.403240656866,62939.35993992937,3214.104319451554
8,1,1,2020-09-10 13:10:00,2020-09-10 13:21:00,623,79315.72748925256,71424.725706375,80586.0418905332,3899.2763712578953
9,1,1,2020-09-10 14:10:00,2020-09-10 14:24:00,835,111550.42814758491,104050.1026089361,113374.46770019128,5518.4014485453035
10,1,1,2020-09-10 15:20:00,2020-09-10 15:36:00,945,127628.21972291825,118348.96555959292,129712.44596059548,4633.154349555268
11,1,1,2020-09-10 16:48:00,2020-09-10 17:15:00,1586,221684.73798083307,209432.92101550623,227559.2177925728,7613.492176888196
7,1,0,2020-09-11 01:13:58,2020-09-11 01:22:58,510,61706.17363298253,56589.13012925923,61909.075938340466,3171.4208524656874
8,1,0,2020-09-11 01:51:58,2020-09-11 02:06:58,844,111569.9953788807,96856.75787434683,109868.51038400477,6184.5899212863615
9,1,0,2020-09-11 07:49:01,2020-09-11 08:03:01,804,107580.1642715003,98194.38418519395,108792.38514388524,5179.943811909484
10,1,0,2020-09-11 08:41:01,2020-09-11 09:01:01,1166,156634.31355782496,141733.90485899724,158257.76491776147,6652.170938177863
7,0,1,2020-09-10 12:23:00,2020-09-10 12:36:00,657,79986.35824196858,77291.36189594454,79759.12413359642,4569.310067048423
8,0,1,2020-09-10 13:23:00,2020-09-10 13:37:00,794,107824.43492692472,104408.32369464278,108825.62648031581,6389.106228822448
9,0,1,2020-09-10 14:26:00,2020-09-10 14:46:00,1160,165754.61037217095,151384.6554921249,167021.0238331036,8351.63898272296
10,1,1,2020-09-10 15:38:00,2020-09-10 16:13:00,2092,308394.17131148936,294356.93527109304,311058.16682116874,10291.082100514279
7,0,0,2020-09-11 01:35:58,2020-09-11 01:50:58,596,76842.10643953375,74156.03972837362,77186.6237442362,3892.223915490495
8,0,0,2020-09-11 02:08:58,2020-09-11 02:20:58,761,104884.53783929584,101171.42396233173,103590.56045300906,5344.354616132258
9,0,0,2020-09-11 08:05:01,2020-09-11 08:24:01,1121,159374.1949391911,141418.63289216955,161852.6668171096,9085.022595380957
10,0,0,2020-09-11 10:41:01,2020-09-11 11:13:01,1847,283593.1776961579,105355.05494855378,275363.56265413336,42257.90574408336
