# 19-slot 40, 20- slot 30, 21-slot 20, 22-slot 50,,,,,,,,,,,,,,,,,,,,
# 17-slot 60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 75, 20-packet 70, 21-packet 59, 22-packet 77,,,,,,,,,,,,,,,,,,,,
# 17-packet 80,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 5, 20-packet 4, 21-packet 2, 22-round 7,,,,,,,,,,,,,,,,,,,,
# 17-round 9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 63, 20-packet 57, 21-packet 49, 22-real 63,,,,,,,,,,,,,,,,,,,,
# 17-real 66,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sf,dis,pos,size,scale,lbt,slot_number,packet,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,cpu,lpm,tx,rx,pdr,energy,round
7,1,5,5,20,0,60,0,2020-9-27 23:48:32,2020-9-27 23:49:22,50 ,0,0,0,0,5606.4357,5682.353467,1319339,29263351,93544,19587065,0,5258.809077,1
7,1,5,5,20,0,60,66,2020-9-27 23:49:22,2020-9-27 23:53:29,240 ,0,0,0,0,35868.39219,32359.10617,9457698,132278687,25782575,123077206,954545,32366.40665,3.24
7,1,5,5,20,0,60,0,2020-9-28 0:02:32,2020-9-28 0:03:22,50 ,0,0,0,0,5549.666285,5671.165313,1319341,29256954,93545,19603025,0,5261.367437,1
7,1,5,5,20,0,60,66,2020-9-28 0:03:22,2020-9-28 0:07:29,240 ,0,0,0,0,33483.16208,32318.5294,9473324,132785768,26557094,121833568,969696,32389.0515,3.24
7,1,5,5,20,0,60,0,2020-9-28 0:16:32,2020-9-28 0:17:22,50 ,0,0,0,0,5576.546911,5670.012443,1319340,29284512,93510,19556801,0,5254.432171,1
7,1,5,5,20,0,60,66,2020-9-28 0:17:22,2020-9-28 0:21:28,239 ,0,0,0,0,32573.27191,34696.85309,9659754,127214215,33100562,119344396,954545,33542.90994,3.24
7,1,5,5,20,0,40,0,2020-9-28 1:12:32,2020-9-28 1:13:22,50 ,0,0,0,0,5446.481679,5612.910142,1338849,30082224,155918,18711931,0,5163.120077,1
7,1,5,5,20,0,40,63,2020-9-28 1:13:22,2020-9-28 1:17:30,241 ,0,0,0,0,35596.96528,31808.53172,9396622,137289571,15554267,129219165,873015,30899.12619,3.39
7,1,5,5,20,0,40,0,2020-9-28 1:24:32,2020-9-28 1:25:22,50 ,0,0,0,0,5463.63739,5612.967699,1338849,30210350,155915,18578541,0,5163.120077,1
7,1,5,5,20,0,40,63,2020-9-28 1:25:22,2020-9-28 1:29:30,242 ,0,0,0,0,35006.98028,31782.33051,9246228,143213106,19896254,120244163,904761,30899.12619,3.39
7,1,5,5,20,0,40,0,2020-9-28 1:36:32,2020-9-28 1:37:22,50 ,0,0,0,0,5629.702773,5587.819338,1338848,30216865,155882,18564128,0,5143.45563,1
7,1,5,5,20,0,40,63,2020-9-28 1:37:22,2020-9-28 1:41:29,241 ,0,0,0,0,33144.54088,31831.41232,9258634,142397499,21430670,118520204,904761,30927.13494,3.39
7,1,5,5,20,0,40,0,2020-9-28 2:00:32,2020-9-28 2:01:22,50 ,0,0,0,0,5513.474389,5623.286043,1338850,29991331,155920,18801811,0,5174.590002,1
