sf,dis,pos,size,scale,lbt,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,pdr,dc,blink_type
7,1,5,50,20,0,2020/9/27 23:48,2020/9/28 0:02,828,115911.1579,106896.1765,109672.7421,4365.2756,121820.0264,110525.8575,814814,10.1001,4
7,1,5,50,20,0,2020/9/28 0:16,2020/9/28 0:30,829,109986.4431,106017.2861,110735.2935,5452.7853,114035.1114,110383.2006,811320,10.3906,4
7,1,5,50,20,0,2020/9/28 1:12,2020/9/28 1:26,824,113860.8752,108912.2187,112763.2752,4862.8754,118087.9479,111113.8165,886792,10.599433,4
7,1,5,50,20,0,2020/9/28 1:36,2020/9/28 1:51,871,118620.4076,115822.2866,116357.2762,5014.3476,124137.3005,118355.0681,830508,11.205994,3
7,1,5,50,20,0,2020/9/28 2:00,2020/9/28 2:14,861,113644.7815,112278.8962,111532.2633,4973.6445,118494.113,116914.4648,881355,10.58143713,3
7,1,5,50,20,0,2020/9/28 2:24,2020/9/28 2:39,869,113515.9491,112896.0971,112675.9363,3876.0962,118296.438,117109.857,866666,11.1072844,3
7,1,5,50,20,0,2020/9/28 2:48,2020/9/28 3:04,1107,138078.5649,136875.6367,137963.6743,5783.5234,143057.4507,140149.4201,904761,10.1733034,2
7,1,5,50,20,0,2020/9/28 3:14,2020/9/28 3:30,1104,138756.9882,137276.2112,137578.8743,5563.8389,143425.5135,141316.5479,919354,10.05424,2
7,1,5,50,20,0,2020/9/28 3:53,2020/9/28 4:09,1107,136210.1565,134752.7518,133876.2321,5496.5226,140382.3687,138588.4439,920634,10.184927,2
7,1,5,50,20,0,2020/9/28 4:29,2020/9/28 4:47,1359,157759.102,155868.5478,156183.2383,5967.1816,161460.9109,159316.0872,954587,11.16976439,1
7,1,5,50,20,0,2020/9/28 4:56,2020/9/28 5:14,1353,159676.6461,157645.6359,157156.8373,6572.9062,164342.5174,162658.495,969654,10.6231413,1
7,1,5,50,20,0,2020/9/28 5:25,2020/9/28 5:43,1353,156785.1876,154550.022,155733.8764,5923.5483,161639.6301,159529.601,958966,10.74269766,1
7,1,5,50,20,1,2020/9/13 1:14,2020/9/13 1:35,1221,153856.8957,150116.1191,156435.038,6557.487231,178116.7918,169843.6,1000000,2.7,0
7,1,5,50,20,1,2020/9/13 3:17,2020/9/13 3:38,1221,154314.7395,146792.5658,155449.6805,6644.063997,178218.1133,164995.356,1000000,2.7,0
7,1,5,50,20,1,2020/9/13 4:34,2020/9/13 4:55,1156,151021.5062,142834.7677,145934.6025,36033.04504,165287.6947,153200.0753,1000000,2.7,0
7,1,5,50,20,0,2020/9/28 6:11,2020/9/28 6:30,1165,149277.2367,145987.7533,147238.8725,6275.87522,152751.6743,149674.2642,1000000,8.916418,0
7,1,5,50,20,0,2020/9/28 6:59,2020/9/28 7:18,1123,148654.2643,144674.7644,145851.6732,5965.23642,153985.6742,148216.4267,1000000,8.715811,0
7,1,5,50,20,0,2020/9/28 7:35,2020/9/28 7:55,1174,149821.6743,145876.4265,146863.5228,6742.256423,153675.2647,149242.6784,1000000,9.01641267,0
