sf,dis,pos,throughput,scale,lbt,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10
100s,10 channel,,,,,,,,,,,,,,,,,,,
11,1,5,12800,20,1,3524,556507.2611,546531.2691,560931.0799,145725.2361,89.267316,88.03998,80.551829,71.931209,76.6942,78.339565,67.313679,73.642166,72.3824,72.122072
11,0,5,1680,20,1,3592,604796.6449,583951.2607,587858.7146,147334.0349,67.317218,68.885476,46.964087,59.493536,48.535262,56.361912,57.927012,56.361901,50.105015,68.882107
10,1,5,26880,20,1,3574,537909.786,522184.9661,526587.2992,11502.67159,81.518662,77.528843,77.647482,75.869323,56.256737,51.101813,49.821203,48.255945,48.725616,53.156496
10,0,5,3360,20,1,3566,602850.9592,571784.813,579748.6799,10528.57071,50.312965,44.961887,46.029943,47.101539,49.239559,53.528651,49.244084,61.018099,63.164297,58.877568
9,1,5,64768,20,1,3575,537085.3588,508099.3478,510618.9737,15536.21989,48.275692,73.156542,81.101968,76.816082,82.298274,78.955744,72.227952,50.993927,58.112372,58.602674
9,0,5,7392,20,1,3560,605629.0398,578306.845,590312.783,15168.36653,57.58971,63.759763,48.332302,45.247575,43.194687,50.391803,46.279648,47.304935,50.396587,55.53876
8,1,5,132608,20,1,3565,542206.9377,519304.3015,516447.585,133147.7519,70.370941,72.247758,72.499714,64.230231,66.173642,74.38252,77.134975,70.180964,73.122655,70.67857
8,0,5,10976,20,1,3563,574615.3218,548725.5984,520316.3719,119643.2164,41.324644,42.701054,32.369774,35.124928,35.816256,38.569569,39.945223,35.81375,39.259823,39.948956
7,1,5,175616,20,1,3571,530445.3015,481357.8772,529238.6197,18464.20577,55.152533,56.965125,52.854561,52.187181,50.527781,53.9062,55.905517,49.683974,69.357501,62.540655
7,0,5,16352,20,1,3519,563824.891,520060.4623,566634.976,21537.63144,36.729644,31.651697,41.033411,30.483032,36.341516,39.858482,44.938102,41.814369,42.594927,37.899252
,,,,,,,,,,,,,,,,,,,,
100s,1 channel,,,,,,,,,,,,,,,,,,,
11,1,5,960,20,1,3600,124036.0565,118703.4983,124336.758,3045.639326,90.203707,,,,,,,,,
11,0,5,280,20,1,3600,128516.3054,123059.5423,126064.5305,2100.293052,92.367337,,,,,,,,,
10,1,5,2560,20,1,3600,114976.9935,106161.3452,113494.696,3623.405282,94.7842251,,,,,,,,,
10,0,5,640,20,1,3600,117126.3738,111858.499,116803.9125,2638.634903,98.639646,,,,,,,,,
9,1,5,5632,20,1,3600,114343.4651,104277.6032,112840.3692,4189.080247,95.34716,,,,,,,,,
9,0,5,1408,20,1,3600,126483.0452,119338.1562,123614.331,3594.044068,95.939596,,,,,,,,,
8,1,5,17920,20,1,3600,126271.8986,116897.6117,126308.1539,3830.865138,93.7760828,,,,,,,,,
8,0,5,2240,20,1,3600,134265.4384,127279.3057,132577.1508,3608.046641,95.450902,,,,,,,,,
7,1,5,25088,20,1,3600,111398.7972,101833.2117,111747.7569,4068.723488,96.454412,,,,,,,,,
7,0,5,3808,20,1,3600,131779.067,123654.7912,132149.1098,4297.065754,95.048987,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
36s,10 channel,,,,,,,,,,,,,,,,,,,
11,1,5,5760,20,0,3600,337666.1734,318081.8106,340246.0087,23560.28884,35.894946,34.456506,34.33785,30.575975,29.652028,33.696464,32.772096,32.128543,28.374052,32.136457
11,0,5,960,20,0,3600,376788.0993,367444.4768,373649.6951,10985.71013,33.844238,32.279664,35.408128,30.717389,30.71281,34.107313,29.14617,34.80811,34.20007,34.804031
10,1,5,11520,20,0,3600,359585.434,345603.2674,360594.4712,15520.34239,34.501949,32.415305,33.698319,29.663405,33.5116,32.362373,34.663493,35.45199,34.508211,28.128748
10,0,5,2480,20,0,3600,368812.7464,351397.7872,362447.6109,9606.244252,30.311814,35.325454,30.679879,32.113865,33.539446,34.253104,34.537017,33.185651,31.751947,35.536628
9,1,5,28160,20,0,3600,367091.3229,351519.4697,362256.1546,19313.51585,29.843332,28.841013,33.801725,32.954684,31.901315,33.043177,30.717588,35.15149,29.740906,27.987365
9,0,5,5456,20,0,3600,366448.4215,365282.2758,362392.7275,7837.65667,34.97013,35.996841,32.169475,32.917995,32.174332,34.00443,34.002461,29.087545,31.290824,34.397058
8,1,5,57344,20,0,3600,347438.206,328258.7003,352738.4494,27515.43799,31.920892,32.18355,34.014881,33.844979,35.013062,35.335197,33.620394,32.552305,34.1162,32.737064
8,0,5,9184,20,0,3600,344528.4217,326015.4778,339442.2348,11741.21399,33.066981,31.000456,32.023023,29.269236,34.443535,29.622642,34.444912,32.198184,35.490039,29.622672
7,1,5,111104,20,0,3600,341646.5143,312360.1799,340432.832,27485.91534,27.589745,31.915538,33.215235,32.718953,34.142217,31.039838,30.108449,31.752422,28.829398,31.40608
7,0,5,13664,20,0,3600,352455.2808,315857.9381,340806.2075,21621.58262,35.963864,35.400569,34.701461,30.873949,30.090364,34.91936,33.090378,35.792217,32.572998,31.526753
,,,,,,,,,,,,,,,,,,,,
36s,1 channel,,,,,,,,,,,,,,,,,,,
11,1,5,240,20,0,3600,69818.17451,65594.17323,70009.47673,7898.762196,32.473643,,,,,,,,,
11,0,5,80,20,0,3600,68793.74876,68240.0382,69435.97689,1901.233285,33.932555,,,,,,,,,
10,1,5,960,20,0,3600,70984.19889,66373.05383,71022.04878,6255.574892,33.815334,,,,,,,,,
10,0,5,192,20,0,3600,69230.02439,66794.53815,68985.29273,2079.21913,32.639646,,,,,,,,,
9,1,5,2816,20,0,3600,69105.4501,68428.7854,68633.25278,2854.855648,34.874029,,,,,,,,,
9,0,5,528,20,0,3600,66448.42152,65282.27579,66292.72754,2837.65667,32.389853,,,,,,,,,
8,1,5,7168,20,0,3600,68781.6824,65298.85585,68745.29811,4113.429712,35.19104,,,,,,,,,
8,0,5,896,20,0,3600,66941.27496,65652.02497,66730.80822,990.4653213,33.024075,,,,,,,,,
7,1,5,10752,20,0,3600,69247.3394,66359.70238,67974.25329,3144.559818,34.591192,,,,,,,,,
7,0,5,1344,20,0,3600,69888.45296,66115.79632,68398.41575,2007.330185,34.392793,,,,,,,,,
