task,component,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10
.......................dissem 62284,sync,22,3050.25946,2961.453779,3061.617918,61.21232955,3133.867621,3040.73665,3.965447,0,0,0,0,0,0,0,0,0
.......................dissem 62284,con_evalution,3420,562165.9613,558318.5913,561986.2964,3789.09754,583645.4328,577646.786,16.645754,23.876446,17.08864,16.64754,16.64108,16.6491,16.6502,16.648975,16.6486,16.6443
.......................dissem 62284,sync,22,3063.741963,2963.433014,3074.596071,59.99529079,3146.625671,3053.143131,0,0,0,0,0,3.96746,0,0,0,0
.......................dissem 62284,coltopo,346,52039.93413,49822.53483,51913.14927,1733.737856,53843.65339,51017.16899,3.461450048,3.577388,2.895012,0,0,0,10.116458,4.624568,3.117396,3.506448
.......................dissem 62284,sync,20,2663.707737,2585.474205,2699.846227,93.89804731,2722.356708,2640.618201,0,3.96436,0,0,0,0,0,0,0,0
.......................dissem 62284,dissem,1464,177353.1429,158187.5423,178236.1905,9620.571429,183398.0494,163561.8291,10.116174,15.87856,9.809426,14.977454,15.2765674,14.785664,9.935137,12.066852,9.154832,7.595195
.......................dissem 62284,verify,0.001828,0.14624,0.14624,,,,,,,,,,,,,,
.......................dissem 62284,sync,22,3031.748054,2836.452421,2935.518728,100.0727665,3076.675889,2912.64265,3.966453,0,0,0,0,0,0,0,0,0
.......................dissem 62284,schedule,104,15703.03485,15490.98205,15493.7689,342.2135657,16356.8291,16107.39753,0,10.65358,0.981674,0,0,0,0,0,0,0
.......................dissem 62284,GPS,68,20781.696,23379.408,,,20903.4884,23641.04581,,,,,,,,,,
.......................dissem 62284,FUT,1800,106385.4369,109577.9376,108245.5794,7643.74964,11376.1297,116612.178,,,,,,,,,,
.......................dissem 62284,sync,21,2907.65482,2962.944096,3063.100718,85.67436,3039.348978,3048.154161,0,0,0,0,0,0,3.9753,0,0,0
.......................dissem 62284,collect_results,439,67354.86577,64086.11275,65353.91875,7975.12869,69974.78317,65955.04434,3.506461,3.116837,3.896836,4.676875,3.897417,3.507287,3.897764,2.727414,3.116787,6.234571
.......................patch 4298,sync,20,2875.28677,2964.28866,2764.2892,87.2876,2925.685422,3026.703833,0,0,0,0,0,0,3.864028,0,0,0
.......................patch 4298,dissem,385,53346.27832,50184.87757,53531.723,2023.759159,54047.73828,50913.49865,0,4.67563,2.86127,4.2861,3.26594,1.948072,0,0,0,0
.......................patch 4298,verify,0.001321,0.106953,0.106953,,,,,,,,,,,,,,
.......................patch 4298,sync,21,3030.943885,2803.817822,2989.754059,99.54961146,3049.149345,2854.243553,3.97564,0,0,0,0,0,0,0,0,0
.......................patch 4298,schedule,104,15452.40568,14982.61229,15521.19123,286.6129223,16119.62881,15343.15165,0,6.64535,0.97536,0,0,0,0,0,0,0
.......................patch 4298,GPS,114.864,38259,45287,,,41361.15893,48647.19404,,,,,,,,,,
.......................patch 4298,FUT,1800,107758.1868,110865.4169,109635.6993,8062.130752,109656.8716,112866.2997,,,,,,,,,,
.......................patch 4298,sync,22,3082.29897,3124.2897,3095.299765,78.61052646,3141.18975,3219.64797,0,0,0,0,0,0,0,3.96428,0,0
.......................patch 4298,collect_results,439,67521.864,63593.59125,66293.29638,8789.940421,68427.84022,64299.67431,3.506391,1.558209,3.895465,3.895479,2.727689,3.896506,2.33772,2.337346,11.286374,7.014291
.......................schedule,sync,21,3083.22455,2792.900303,2968.33203,94.44080514,3178.6748,2876.17699,0,0,0,0,0,0,0,3.864698,0,0
.......................schedule,schedule,104,15644.29339,15208.80975,15681.30551,217.4828353,15927.12029,15268.20312,0,0,0,0,0,0,0,0,9.864743,1.027658
.......................schedule,GPS,139.469,42275.4,50643,,,45004.40817,53543.63011,,,,,,,,,,
.......................schedule,FUT,1800,108787.8675,110753.8672,108753.1278,8253.7564,113081.8518,111781.9169,,,,,,,,,,
.......................schedule,sync,22,3063.454719,3005.33733,3078.012594,58.91777057,3132.042962,3046.380637,0,0,0,0,3.96492,0,0,3.878871,0,0
.......................schedule,collect_results,439,68195.52823,65621.55806,66571.01239,9152.306462,70920.12666,66859.8194,1.948857,3.117937,3.11706,4.677456,1.948424,13.116953,6.235785,3.117942,3.507692,4.286839
