,node_id,TX_NUM,CHANNEL,GPS_UTC
0,0,35,486900,1597519589
1,1,49,486300,1597519513
2,1,50,486500,1597519617
3,2,42,487300,1597519522
4,2,43,486700,1597519644
5,3,40,487300,1597519510
6,3,41,487300,1597519640
7,4,44,487300,1597519572
8,5,45,487100,1597519591
9,6,41,487300,1597519576
10,7,37,486300,1597519577
11,8,41,487700,1597519526
12,8,42,487100,1597519663
13,9,41,487500,1597519553
14,10,36,486500,1597519543
15,11,52,486500,1597519612
16,12,38,486300,1597519616
17,13,39,487300,1597519577
18,14,47,487500,1597519588
19,15,46,487700,1597519586
20,16,53,486700,1597519603
21,17,48,487300,1597519606
22,18,49,487100,1597519624
23,19,52,487700,1597519609
24,20,47,487500,1597519610
