,node_id,TX_NUM,CHANNEL,GPS_TIME_HOUR,GPS_TIME_MIN,GPS_TIME_SEC
0,0,1,487100,2,17,38
1,0,2,487500,2,19,43
2,0,3,486700,2,21,42
3,0,4,487100,2,23,55
4,0,5,486500,2,25,58
5,0,6,486700,2,28,9
6,0,7,487700,2,30,26
7,0,8,486300,2,32,19
8,0,9,487300,2,34,21
9,0,10,487300,2,36,17
10,0,11,486900,2,38,2
11,0,12,487100,2,40,16
12,0,13,486500,2,42,15
13,0,14,486500,2,44,21
14,0,15,487700,2,46,13
15,0,16,487700,2,47,59
16,0,17,487100,2,50,14
17,0,18,487300,2,52,1
18,0,19,486700,2,54,6
19,0,20,487100,2,56,7
20,0,21,486300,2,58,1
21,0,22,486700,3,0,5
22,0,23,487700,3,2,2
23,0,24,487700,3,4,14
24,0,25,487100,3,6,22
25,0,26,487300,3,8,7
26,0,27,486700,3,10,22
27,0,28,487100,3,12,35
28,0,29,486500,3,14,17
29,0,30,486700,3,16,15
30,0,31,487500,3,18,14
31,0,32,486300,3,20,19
32,0,33,487300,3,22,10
33,0,34,487500,3,24,19
34,0,35,486900,3,26,29
35,0,36,487100,3,28,14
36,0,37,486300,3,29,59
37,0,38,486500,3,32,0
38,0,39,487700,3,33,49
39,0,40,487700,3,35,35
40,0,41,487100,3,37,49
41,0,42,487500,3,39,42
42,0,43,486900,3,41,22
43,0,44,486900,3,43,10
44,0,45,486300,3,45,20
45,0,46,486500,3,47,12
46,0,47,487500,3,49,15
47,0,48,487700,3,51,24
48,0,49,487100,3,53,35
49,0,50,487500,3,55,55
50,0,51,486700,3,57,35
51,0,52,486900,3,59,39
52,0,53,486300,4,1,43
53,0,54,486700,4,3,25
54,0,55,487700,4,5,37
55,0,56,486300,4,7,57
56,0,57,487100,4,9,59
57,0,58,487500,4,12,13
58,0,59,486900,4,14,27
59,0,60,486900,4,16,15
60,0,61,486500,4,18,20
61,0,62,486500,4,20,3
62,0,63,487500,4,22,21
63,0,64,486300,4,24,29
64,0,65,487300,4,26,10
65,0,66,487300,4,27,59
66,0,67,486900,4,29,46
67,1,1,486500,1,48,1
68,1,2,486500,1,49,44
69,1,3,487700,1,51,31
70,1,4,487700,1,53,37
