,node_id,TX_NUM,CHANNEL,GPS_UTC
0,0,22,486700,1597518005
1,0,23,487700,1597518122
2,0,24,487700,1597518254
3,0,25,487100,1597518382
4,0,26,487300,1597518487
5,0,27,486700,1597518622
6,0,28,487100,1597518755
7,0,29,486500,1597518857
8,0,30,486700,1597518975
9,0,31,487500,1597519094
10,0,32,486300,1597519219
11,0,33,487300,1597519330
12,0,34,487500,1597519459
13,0,35,486900,1597519589
14,0,36,487100,1597519694
15,0,37,486300,1597519799
16,0,38,486500,1597519920
17,0,39,487700,1597520029
18,0,40,487700,1597520135
19,0,41,487100,1597520269
20,0,42,487500,1597520382
21,0,43,486900,1597520482
22,0,44,486900,1597520590
23,0,45,486300,1597520720
24,0,46,486500,1597520832
25,0,47,487500,1597520955
26,0,48,487700,1597521084
27,0,49,487100,1597521215
28,0,50,487500,1597521355
29,0,51,486700,1597521455
30,0,52,486900,1597521579
31,1,37,487300,1597518008
32,1,38,487500,1597518129
33,1,39,486900,1597518255
34,1,40,486900,1597518358
35,1,41,486500,1597518483
36,1,42,486700,1597518616
37,1,43,487700,1597518752
38,1,44,487700,1597518891
39,1,45,487300,1597519022
40,1,46,487500,1597519142
41,1,47,486900,1597519273
42,1,48,487100,1597519395
43,1,49,486300,1597519513
44,1,50,486500,1597519617
45,1,51,487500,1597519751
46,1,52,486300,1597519859
47,1,53,487300,1597519969
48,1,54,487300,1597520099
49,1,55,486900,1597520208
50,1,56,487100,1597520324
51,1,57,486300,1597520426
52,1,58,486700,1597520565
53,1,59,487500,1597520673
54,1,60,487700,1597520786
55,1,61,487100,1597520886
56,1,62,487500,1597521024
57,1,63,486900,1597521154
58,1,64,486900,1597521264
59,1,65,486500,1597521375
60,1,66,486500,1597521490
61,2,30,486500,1597518119
62,2,31,487500,1597518235
63,2,32,487700,1597518366
64,2,33,487300,1597518482
65,2,34,487300,1597518584
66,2,35,486900,1597518696
67,2,36,487100,1597518818
68,2,37,486300,1597518928
69,2,38,486500,1597519037
70,2,39,487500,1597519170
71,2,40,487700,1597519285
72,2,41,487100,1597519391
73,2,42,487300,1597519522
74,2,43,486700,1597519644
75,2,44,487100,1597519759
76,2,45,486300,1597519874
77,2,46,486700,1597519999
78,2,47,487700,1597520133
79,2,48,487700,1597520255
80,2,49,487300,1597520364
81,2,50,487500,1597520504
82,2,51,486700,1597520614
83,2,52,487100,1597520716
84,2,53,486500,1597520825
85,2,54,486500,1597520952
86,2,55,487500,1597521080
87,2,56,487700,1597521196
88,2,57,487300,1597521307
89,2,58,487500,1597521425
90,2,59,486700,1597521525
91,3,28,486300,1597518110
92,3,29,486700,1597518219
93,3,30,487700,1597518337
94,3,31,486300,1597518450
95,3,32,487300,1597518573
96,3,33,487300,1597518707
97,3,34,486700,1597518824
98,3,35,486900,1597518927
99,3,36,486300,1597519061
100,3,37,486500,1597519171
101,3,38,487700,1597519291
102,3,39,487700,1597519409
103,3,40,487300,1597519510
104,3,41,487300,1597519640
105,3,42,486700,1597519747
106,3,43,486900,1597519859
107,3,44,486500,1597519994
108,3,45,486500,1597520130
109,3,46,487500,1597520231
110,3,47,486300,1597520331
